user,docid,page,corrupted,tableType,location,number,content,qualifiers
auto,8121459,1,false,na,Col,1,characteristic_name,
auto,8121459,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,8121459,1,false,na,Col,1,characteristic_name;characteristic_level,indent
auto,8121459,1,false,na,Row,1,characteristic_level,
auto,9841303,1,false,na,Col,1,characteristic_name,empty_row
auto,9841303,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,9841303,1,false,na,Col,1,characteristic_level,
auto,9841303,1,false,na,Col,1,characteristic_level,indent
auto,9841303,1,false,na,Row,2,arms,
auto,9848888,1,false,na,Col,1,characteristic_name;characteristic_level,
auto,9848888,1,false,na,Col,1,characteristic_name,empty_row
auto,9848888,1,false,na,Row,1,arms,
auto,9892586,1,false,na,Col,1,characteristic_name,empty_row
auto,9892586,1,false,na,Col,1,characteristic_name,indent
auto,9892586,1,false,na,Row,1,measures,
auto,9892586,1,false,na,Row,2,arms,
auto,9892586,2,false,na,Row,1,measures,
auto,9892586,2,false,na,Row,2,arms,
auto,9892586,3,false,na,Row,1,measures,
auto,9892586,3,false,na,Row,2,arms,
auto,10438259,1,false,na,Col,1,characteristic_name,
auto,10438259,1,false,na,Col,1,characteristic_level,indent
auto,10438259,1,false,na,Row,2,characteristic_name;arms;characteristic_level,
auto,11419425,1,false,na,Col,1,characteristic_name,
auto,11419425,1,false,na,Col,1,characteristic_name;outcomes,empty_row
auto,11419425,1,false,na,Row,1,arms,
auto,11442551,1,false,na,Col,1,characteristic_name,empty_row
auto,11442551,1,false,na,Col,1,characteristic_name,
auto,11442551,1,false,na,Col,1,characteristic_level,indent
auto,11442551,1,false,na,Row,2,characteristic_level;arms;measures,
auto,12205648,1,false,na,Col,1,characteristic_name,
auto,12205648,1,false,na,Col,1,outcomes,indent;empty_row
auto,12205648,1,false,na,Row,2,arms,
auto,12205648,1,false,na,Row,19,,
auto,12205648,1,false,na,Row,20,characteristic_name,
auto,12456232,1,false,na,Col,1,characteristic_name;characteristic_level,
auto,12456232,1,false,na,Col,1,characteristic_name,empty_row
auto,12456232,1,false,na,Row,1,characteristic_name;characteristic_level,
auto,12456232,2,false,na,Col,1,outcomes,
auto,12456232,2,false,na,Row,1,outcomes;measures,
auto,12456232,2,false,na,Row,2,characteristic_level,
auto,12601075,1,false,na,Col,1,characteristic_name,indentempty_row_with_p_value
auto,12601075,1,false,na,Col,1,characteristic_level,indent
auto,12601075,1,false,na,Row,1,arms,
auto,12803733,1,false,na,Col,1,characteristic_level,
auto,12803733,1,false,na,Row,1,arms,
auto,12803733,2,false,na,Col,1,measures;characteristic_name,
auto,12803733,2,false,na,Col,1,characteristic_level;outcomes,empty_row
auto,12803733,2,false,na,Row,1,arms,
auto,12803733,3,false,na,Col,1,measures;characteristic_name,
auto,12803733,3,false,na,Row,1,arms,
auto,12803733,4,false,na,Col,1,measures,
auto,12803733,4,false,na,Row,1,arms,
auto,12899584,1,false,na,Col,1,characteristic_name;characteristic_level,
auto,12899584,1,false,na,Row,1,characteristic_level,
auto,14657064,1,false,na,Col,1,characteristic_name,
auto,14657064,1,false,na,Col,1,characteristic_level,indent
auto,14657064,1,false,na,Row,1,arms,
auto,14724302,1,false,na,Col,1,characteristic_name,
auto,14724302,1,false,na,Col,1,characteristic_name,indent
auto,14724302,1,false,na,Row,1,arms,
auto,15028365,1,false,na,Col,1,characteristic_name,empty_row
auto,15028365,1,false,na,Col,1,characteristic_name,empty_row_with_p_value
auto,15028365,1,false,na,Row,1,characteristic_name;measures,
auto,15049402,1,false,na,Col,1,characteristic_level,indent
auto,15049402,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,15049402,1,false,na,Row,1,characteristic_name;characteristic_level;arms,
auto,15051694,1,false,na,Col,1,characteristic_name;characteristic_level,
auto,15051694,1,false,na,Row,1,measures,
auto,15051694,1,false,na,Row,2,characteristic_name,
auto,15051694,1,false,na,Row,17,characteristic_level,
auto,15337732,1,false,na,Col,1,characteristic_level,
auto,15337732,1,false,na,Col,1,characteristic_name,empty_row
auto,15337732,1,false,na,Col,1,characteristic_level;characteristic_name,indent
auto,15337732,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,15337732,1,false,na,Row,1,arms,
auto,15381674,1,false,na,Col,1,characteristic_name,
auto,15381674,1,false,na,Col,1,characteristic_level,indent
auto,15381674,1,false,na,Col,1,characteristic_name,empty_row
auto,15381674,1,false,na,Row,1,arms,
auto,15381674,1,false,na,Row,2,arms,
auto,15451146,1,false,na,Col,1,characteristic_name;characteristic_level,
auto,15451146,1,false,na,Col,1,characteristic_name,empty_row
auto,15451146,1,false,na,Row,1,characteristic_name;characteristic_level,
auto,15451146,1,false,na,Row,2,characteristic_level;arms,
auto,15537681,1,false,na,Col,1,characteristic_name,
auto,15537681,1,false,na,Col,1,characteristic_name,empty_row
auto,15537681,1,false,na,Col,1,characteristic_name;characteristic_level,indent
auto,15537681,1,false,na,Row,1,arms,
auto,15579515,1,false,na,Col,1,characteristic_name,indent
auto,15579515,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,15579515,1,false,na,Col,9,characteristic_level;measures,
auto,15579515,1,false,na,Col,9,characteristic_level,indent
auto,15579515,1,false,na,Row,1,characteristic_name;arms,
auto,15579515,1,false,na,Row,3,arms,
auto,15590586,1,false,na,Col,1,characteristic_level,indent
auto,15590586,1,false,na,Col,1,characteristic_name,italic;empty_row
auto,15590586,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,15590586,1,false,na,Row,1,arms,
auto,15590586,2,false,na,Row,1,arms,
auto,15590586,3,false,na,Row,1,arms,
auto,15639688,1,false,na,Col,1,characteristic_name,empty_row
auto,15639688,1,false,na,Col,1,characteristic_name;characteristic_level,
auto,15639688,1,false,na,Col,1,characteristic_level,indent
auto,15639688,1,false,na,Row,2,arms,
auto,15659722,1,false,na,Col,1,characteristic_name,empty_row
auto,15659722,1,false,na,Col,1,characteristic_level,indent
auto,15659722,1,false,na,Col,1,characteristic_name,
auto,15659722,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,15659722,1,false,na,Row,1,characteristic_name,
auto,15753114,1,false,na,Col,1,characteristic_level,indent
auto,15753114,1,false,na,Col,1,characteristic_name,empty_row
auto,15753114,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,15758000,1,false,na,Col,1,characteristic_name;characteristic_level,indent
auto,15758000,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,15758000,1,false,na,Row,1,arms,
auto,15781429,1,false,na,Col,1,characteristic_name,
auto,15781429,1,false,na,Col,1,characteristic_name,indent
auto,15781429,1,false,na,Row,1,arms,
auto,15851647,1,false,na,Col,1,characteristic_name,
auto,15851647,1,false,na,Col,1,characteristic_name,indent
auto,15851647,1,false,na,Row,1,characteristic_level,
auto,15851647,1,false,na,Row,2,characteristic_level;arms,
auto,15851647,2,false,na,Col,1,characteristic_level,indent;empty_row
auto,15851647,2,false,na,Row,1,measures,
auto,15851647,2,false,na,Row,2,arms,
